name|owner|primaryLanguage|createdAt|updatedAt|url|popularity|cbo|dit|lcom|loc|compositeScore
paascloud-master|paascloud|Java|2018-03-17T05:40:43Z|2025-03-24T08:07:25Z|https://github.com/paascloud/paascloud-master|9876|6.1|1.32|5.46|16428|0.22824531345418103
spider-flow|ssssssss-team|Java|2020-03-27T11:07:15Z|2025-03-24T12:45:00Z|https://github.com/ssssssss-team/spider-flow|9868|5.39|1.73|20.33|8748|0.23896909711983072
CoreNLP|stanfordnlp|Java|2013-06-27T21:13:49Z|2025-03-24T12:28:50Z|https://github.com/stanfordnlp/CoreNLP|9826|5.92|1.64|145.77|565658|0.2405638002006345
JsBridge|uknownothingsnow|Java|2015-02-26T12:10:58Z|2025-03-20T09:40:57Z|https://github.com/uknownothingsnow/JsBridge|9823|3.52|1.17|17.24|1037|0.19257988670725162
MagicIndicator|hackware1993|Java|2016-06-26T08:20:43Z|2025-03-19T06:12:58Z|https://github.com/hackware1993/MagicIndicator|9766|5|1.34|26.94|4533|0.2168345546023207
AVLoadingIndicatorView|HarlonWang|Java|2015-10-24T20:18:33Z|2025-03-23T08:52:37Z|https://github.com/HarlonWang/AVLoadingIndicatorView|9754|3.57|1.78|6.75|2161|0.22094736134787785
Fragmentation|YoKeyword|Java|2016-02-23T08:54:55Z|2025-03-21T06:21:52Z|https://github.com/YoKeyword/Fragmentation|9726|5.23|1.71|15.12|8981|0.23628050895300726
starrocks|StarRocks|Java|2021-09-04T02:29:35Z|2025-03-24T13:41:46Z|https://github.com/StarRocks/starrocks|9720|7.38|1.5|127.06|673828|0.25052275266684815
spark|perwendel|Java|2011-05-05T11:52:05Z|2025-03-23T19:53:58Z|https://github.com/perwendel/spark|9653|4.54|1.3|47.12|9588|0.20983947266402136
Android-ObservableScrollView|ksoichiro|Java|2014-11-08T14:45:20Z|2025-03-23T07:33:22Z|https://github.com/ksoichiro/Android-ObservableScrollView|9653|5.01|1.97|7.57|12621|0.24568233845755594
react-native-camera|react-native-camera|Java|2015-04-01T00:54:40Z|2025-03-21T15:24:08Z|https://github.com/react-native-camera/react-native-camera|9649|0|0|0|0|0.1
spring-boot-api-project-seed|lihengming|Java|2017-06-23T10:06:30Z|2025-03-24T04:35:28Z|https://github.com/lihengming/spring-boot-api-project-seed|9629|5|1.27|9.73|484|0.21367615900546177
feign|OpenFeign|Java|2013-06-26T23:28:16Z|2025-03-24T02:28:09Z|https://github.com/OpenFeign/feign|9619|5.13|1.68|13.23|37392|0.23380043999842148
GmsCore|microg|Java|2014-04-23T19:28:47Z|2025-03-24T12:42:50Z|https://github.com/microg/GmsCore|9594|5.63|1.76|14.49|53179|0.24302631435923602
android-Ultra-Pull-To-Refresh|liaohuqiu|Java|2014-11-13T03:13:10Z|2025-03-17T06:11:59Z|https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh|9580|4.06|1.42|19.14|5476|0.20999617305355223
android-gif-drawable|koral--|Java|2013-01-30T01:37:46Z|2025-03-23T18:14:02Z|https://github.com/koral--/android-gif-drawable|9579|6.16|1.66|59.73|2920|0.24430836342404674
DanmakuFlameMaster|bilibili|Java|2013-08-11T12:18:50Z|2025-03-24T13:10:35Z|https://github.com/bilibili/DanmakuFlameMaster|9569|5.16|1.61|47.51|12879|0.2308852908879134
Mycat-Server|MyCATApache|Java|2014-12-04T02:46:54Z|2025-03-23T14:53:41Z|https://github.com/MyCATApache/Mycat-Server|9546|4.9|1.29|78.49|92943|0.21334808687359505
AndroidSlidingUpPanel|umano|Java|2013-05-31T18:33:53Z|2025-03-22T04:00:16Z|https://github.com/umano/AndroidSlidingUpPanel|9509|4.94|1.35|132|2011|0.2164328881087762
Signal-Server|signalapp|Java|2013-12-09T07:10:36Z|2025-03-24T06:23:13Z|https://github.com/signalapp/Signal-Server|9439|8.94|1.5|14.54|56261|0.2681437134784615
sonarqube|SonarSource|Java|2011-01-05T11:05:17Z|2025-03-24T10:30:19Z|https://github.com/SonarSource/sonarqube|9425|7.28|1.19|24.2|396547|0.2354663611711856
PocketHub|pockethub|Java|2011-09-08T16:52:50Z|2025-03-20T16:33:05Z|https://github.com/pockethub/PocketHub|9388|6.58|1.48|9.04|6980|0.24088836128073549
cim|crossoverJie|Java|2018-05-20T15:55:56Z|2025-03-24T08:04:48Z|https://github.com/crossoverJie/cim|9384|4.82|1.27|6.4|4991|0.21167204324808586
AgentWeb|Justson|Java|2017-05-12T07:45:56Z|2025-03-22T03:57:44Z|https://github.com/Justson/AgentWeb|9303|5.4|1.49|18.79|11320|0.2281495702843998
spring-reading|xuchengsheng|Java|2023-09-15T06:42:44Z|2025-03-24T11:34:24Z|https://github.com/xuchengsheng/spring-reading|9298|2.81|1.03|0.54|3078|0.17830298461809505
testing-samples|android|Java|2014-10-11T03:51:27Z|2025-03-23T16:26:22Z|https://github.com/android/testing-samples|9244|5.44|1.36|2.89|1796|0.22270203273684583
AndroidNote|GcsSloop|Java|2016-01-04T23:51:36Z|2025-03-24T10:15:53Z|https://github.com/GcsSloop/AndroidNote|9234|4.88|1.38|8.13|402|0.21735036643473538
CalendarView|huanghaibin-dev|Java|2017-03-11T07:16:09Z|2025-03-24T12:42:22Z|https://github.com/huanghaibin-dev/CalendarView|9223|6.57|2.16|53.18|11557|0.2716775274521855
cassandra|apache|Java|2009-05-21T02:10:09Z|2025-03-24T12:03:01Z|https://github.com/apache/cassandra|9104|6.6|1.77|58.25|640430|0.2542358466682601
android-gpuimage|cats-oss|Java|2012-10-04T08:11:58Z|2025-03-23T04:22:45Z|https://github.com/cats-oss/android-gpuimage|9072|2.96|2.16|11.3|6341|0.2314394885853861
JsonPath|json-path|Java|2011-01-24T13:19:19Z|2025-03-23T00:35:18Z|https://github.com/json-path/JsonPath|9070|4.56|1.49|29.29|16468|0.218750623410446
spring-security|spring-projects|Java|2012-01-10T21:50:57Z|2025-03-24T04:06:07Z|https://github.com/spring-projects/spring-security|9037|7.25|1.24|10.77|242156|0.2374331911338482
awesome-leetcode-resources|ashishps1|Java|2023-10-25T01:48:19Z|2025-03-24T11:34:19Z|https://github.com/ashishps1/awesome-leetcode-resources|9017|1.18|1|4.73|360|0.15872665317564094
VirtualAPK|didi|Java|2017-06-29T07:25:05Z|2025-03-24T08:08:44Z|https://github.com/didi/VirtualAPK|9016|4.9|1.61|17.58|7981|0.2280352241291434
MaterialDesignLibrary|navasmdc|Java|2014-09-30T07:37:17Z|2025-03-22T04:00:05Z|https://github.com/navasmdc/MaterialDesignLibrary|8982|4.54|1.82|6.76|2927|0.23360160445409275
EhViewer|seven332|Java|2014-05-14T12:03:52Z|2025-03-24T11:41:37Z|https://github.com/seven332/EhViewer|8966|7.14|1.82|45.26|44372|0.2625670516225714
Jetpack-MVVM-Best-Practice|KunMinX|Java|2019-10-31T05:21:01Z|2025-03-24T11:32:46Z|https://github.com/KunMinX/Jetpack-MVVM-Best-Practice|8913|4.84|1.62|12|3691|0.22783073253137104
storm|nathanmarz|Java|2011-09-17T07:55:13Z|2025-03-19T02:21:04Z|https://github.com/nathanmarz/storm|8821|4.43|1.29|33.07|60552|0.2081805666866196
StatusBarUtil|laobie|Java|2016-02-15T03:06:06Z|2025-03-17T06:12:36Z|https://github.com/laobie/StatusBarUtil|8806|4.15|1.55|22.55|1036|0.21691767236772388
